0	1	mikroCPIC1618.exe -MSF -DBG -pP16F877A -DL -O11111114 -fo8 -N"C:\Users\moham\OneDrive\Desktop\New folder\code\MyProject.mcppi" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\Defs\" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\Uses\P16\" -SP"C:\Users\moham\OneDrive\Desktop\New folder\code\" "MyProject.c" "NewUnit_0.c" "NewUnit_1.c" "NewUnit_2.c" "NewUnit_3.c" "NewUnit_4.c" "NewUnit_5.c" "NewUnit_6.c" "NewUnit_7.c" "NewUnit_8.c" "NewUnit_9.c" "NewUnit_10.c" "NewUnit_11.c" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl" "__Lib_CType.mcl" "__Lib_CString.mcl" "__Lib_CStdlib.mcl" "__Lib_CMath.mcl" "__Lib_MemManager.mcl" "__Lib_Conversions.mcl" "__Lib_Sprinti.mcl" "__Lib_Sprintl.mcl" "__Lib_Time.mcl" "__Lib_Trigonometry.mcl" "__Lib_Button.mcl" "__Lib_Keypad4x4.mcl" "__Lib_Manchester.mcl" "__Lib_OneWire.mcl" "__Lib_PS2.mcl" "__Lib_Sound.mcl" "__Lib_SoftI2C.mcl" "__Lib_SoftSPI.mcl" "__Lib_SoftUART.mcl" "__Lib_ADC_A_C.mcl" "__Lib_EEPROM.mcl" "__Lib_FLASH_RW.mcl" "__Lib_I2C_c34.mcl" "__Lib_PWM_c21.mcl" "__Lib_SPI_c345.mcl" "__Lib_UART_c67.mcl" "__Lib_PortExpander.mcl" "__Lib_CANSPI.mcl" "__Lib_CF.mcl" "__Lib_GlcdFonts.mcl" "__Lib_Glcd.mcl" "__Lib_LcdConsts.mcl" "__Lib_Lcd.mcl" "__Lib_RS485.mcl" "__Lib_S1D13700.mcl" "__Lib_T6963C.mcl" "__Lib_SPIGlcd.mcl" "__Lib_SPILcd.mcl" "__Lib_SPILcd8.mcl" "__Lib_SPIT6963C.mcl" "__Lib_EthEnc28j60.mcl" "__Lib_EthEnc24j600.mcl" "__Lib_TouchPanel.mcl"	 
hint: 0	1139	Available RAM: 352 [bytes], Available ROM: 8192 [bytes]	 
diagnostics: 0	122	Compilation Started	MyProject.c
diagnostics: 392	123	Compiled Successfully	MyProject.c
diagnostics: 0	122	Compilation Started	NewUnit_0.c
diagnostics: 0	123	Compiled Successfully	NewUnit_0.c
diagnostics: -1	122	Compilation Started	NewUnit_1.c
diagnostics: -1	123	Compiled Successfully	NewUnit_1.c
diagnostics: -1	122	Compilation Started	NewUnit_2.c
diagnostics: -1	123	Compiled Successfully	NewUnit_2.c
diagnostics: -1	122	Compilation Started	NewUnit_3.c
diagnostics: -1	123	Compiled Successfully	NewUnit_3.c
diagnostics: -1	122	Compilation Started	NewUnit_4.c
diagnostics: -1	123	Compiled Successfully	NewUnit_4.c
diagnostics: -1	122	Compilation Started	NewUnit_5.c
diagnostics: -1	123	Compiled Successfully	NewUnit_5.c
diagnostics: -1	122	Compilation Started	NewUnit_6.c
diagnostics: -1	123	Compiled Successfully	NewUnit_6.c
diagnostics: -1	122	Compilation Started	NewUnit_7.c
diagnostics: -1	123	Compiled Successfully	NewUnit_7.c
diagnostics: -1	122	Compilation Started	NewUnit_8.c
diagnostics: -1	123	Compiled Successfully	NewUnit_8.c
diagnostics: -1	122	Compilation Started	NewUnit_9.c
diagnostics: -1	123	Compiled Successfully	NewUnit_9.c
diagnostics: -1	122	Compilation Started	NewUnit_10.c
diagnostics: -1	123	Compiled Successfully	NewUnit_10.c
diagnostics: -1	122	Compilation Started	NewUnit_11.c
diagnostics: -1	123	Compiled Successfully	NewUnit_11.c
diagnostics: 0	127	All files Compiled in 656 ms	 
hint: 0	1144	Used RAM (bytes): 20 (6%)  Free RAM (bytes): 332 (94%)	Used RAM (bytes): 20 (6%)  Free RAM (bytes): 332 (94%)
hint: 0	1144	Used ROM (program words): 803 (10%)  Free ROM (program words): 7389 (90%)	Used ROM (program words): 803 (10%)  Free ROM (program words): 7389 (90%)
diagnostics: 0	125	Project Linked Successfully	MyProject.mcppi
diagnostics: 0	128	Linked in 47 ms	 
diagnostics: 0	129	Project 'MyProject.mcppi' completed: 859 ms	 
diagnostics: 0	103	Finished successfully: 01 Aug 2023, 02:02:13	MyProject.mcppi
